videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,1577,1577,3420,2393,3259,2061,2393,2492,1983,2625,5817,4123,4432,2404,544,2118,5500,3420,3067,4131
01HmDgRX,2655,5326,2655,3430,2937,5783,2287,5783,4827,3134,2789,2937,2352,5672,3899,5409,1339,3151,1746,4631
01MDIjwg,5606,1937,210,5524,4496,390,3616,571,4496,1371,1454,1404,3008,1937,2351,2919,4469,210,5885,3583
02Dnm154,2996,2996,4209,4847,2009,2418,4483,5701,1227,1351,1985,2269,5530,272,4778,1856,3324,3439,2271,454
02I1exYc,2737,2501,2737,4269,3571,5491,1167,2544,1158,757,5538,2053,1158,2926,168,4109,5146,547,807,3090
02J5ABU1,1744,4693,1647,2938,4861,3948,1744,3288,1421,2938,5391,3882,4573,2361,822,2899,4109,4238,3777,1037
02nzMLRu,5562,3464,212,2517,5411,5856,725,5258,3999,3807,809,2267,439,3281,5691,462,5146,3218,3999,5562
03JDeH1Y,4263,4263,2410,4290,10,2828,4408,5845,4714,178,2913,914,36,1792,3408,1737,879,4627,4756,3341
03iWqftg,1112,2344,1112,2393,3067,3067,850,5099,4658,5297,850,1030,814,2983,38,5878,4131,5297,1113,2404
03trKEHD,1977,2938,5723,888,2671,4300,394,3897,567,1459,15,394,2849,5821,5084,4446,2104,2665,5575,1748
04Bz1rtE,3713,3713,2968,979,4746,979,5541,1243,771,2572,4038,2968,516,728,1719,1585,1585,3213,4903,489
04f6m3BF,2962,2921,685,3140,3303,2827,4447,2906,3347,2962,3347,1207,4206,3668,2327,4220,4447,1731,741,4472
04v6H7X9,1359,5282,1359,2801,4316,4971,2862,5665,2367,4424,5204,5035,2829,3438,1634,4127,618,5688,5282,2537
056nP9o7,5845,4563,5477,1381,4563,1057,879,4736,470,1381,4379,2139,3445,5845,683,4036,399,859,4887,1138
05E2iJoG,2179,2179,5340,1364,4564,906,473,2202,4935,5378,5483,4102,4564,2608,2345,3526,4330,2381,3903,298
05lMWEKB,927,3500,5226,5226,3084,927,4803,2168,4889,2333,4479,2878,5454,2886,5981,2115,1079,4479,1307,1015
05xeuoSX,3470,3470,527,5136,5876,527,2415,896,5275,2278,792,1757,3863,1386,2021,2843,4497,389,3437,1138
06UxtWqT,1780,4092,3537,647,457,1749,2043,1749,4885,2254,2400,1573,4613,5055,775,2395,4226,5621,4785,2062
06gZx83y,8,3230,4660,8,5991,4725,5991,4660,2722,3230,2142,5256,180,2253,3006,3759,2561,2253,3006,284
07LhF2BP,1835,4881,4881,1869,4128,5004,5193,4128,5229,2090,3603,2844,834,1208,5193,3912,465,1835,5689,3242
07SwazrD,2050,2943,5186,332,5782,5714,2050,5489,1598,5186,5174,3368,3922,4791,1816,1859,1828,3368,3495,905
07qf5K8H,4665,2595,2042,3631,637,1367,5441,3500,3117,2042,3631,2768,3597,3397,5467,1644,373,2388,3065,141
08ErV6Xg,3115,3115,2356,3497,3386,121,1392,5919,4191,1285,3016,1886,18,5077,3386,5919,5646,3795,3497,4125
08JsCOaT,3402,636,3187,3296,3979,198,636,304,3288,315,5173,2935,3402,1313,5173,4179,4386,4109,1753,5513
08sTc3wn,4871,3978,2613,431,1568,3842,5274,378,431,4443,3820,5973,5973,2215,3152,3031,4765,2792,2908,2613
09CoMjl3,2928,2928,5947,4392,5371,3761,4545,5371,4392,5947,3373,4313,5633,4545,5853,2651,1407,1392,939,4114
09ofrKBW,973,1103,1053,596,1118,2125,1667,1286,2125,5981,1307,1015,1053,3174,2333,3084,2333,5585,2156,1367
0AXQeD8I,919,919,3769,909,527,3280,1150,391,4288,2415,2669,2255,817,1843,2592,817,5131,4081,2553,2251
0BHSGQDa,4625,4769,3549,3997,4769,4625,4989,4989,3314,295,1520,3549,3997,4500,1867,4791,1867,3316,1205,2499
0BaDgyY2,2180,3339,1422,2180,3246,4724,3899,1336,4724,2653,3134,2930,1592,1990,3339,1422,2514,1923,5495,2947
0Bi8sx1W,5059,3077,3048,4693,3503,153,1786,1131,3378,3466,1313,4441,614,3822,3691,3365,3692,3659,1449,2182
0BkN9sC8,2027,5859,3433,3676,3405,3676,3031,733,4433,1336,2587,4047,3000,4610,3708,1205,994,5928,216,3441
0BvjOb2g,793,1410,106,2122,1318,5248,352,757,3571,5163,1863,5668,874,2671,1977,180,5668,807,288,874
0C4tJAmp,3488,3488,4451,3863,2803,2862,1838,4145,5051,5741,792,4451,735,3394,3572,5051,5477,4524,552,5243
0CNgmAMR,2952,1554,4418,1814,4256,5877,2952,4647,637,3952,4678,3221,3212,2370,2071,3409,602,5452,3478,853
0CVQESLj,660,5012,5012,1784,4051,1283,5486,5528,4685,3141,2805,4084,3082,4051,4685,3082,5628,5568,5233,3462
0Ch9Lprl,286,286,2345,1618,4639,3072,2754,5099,1482,4639,1676,788,5479,918,5571,2559,5523,4870,4283,3565
0Cmnfo2J,1205,2373,5066,5067,1865,804,60,5928,190,4500,2373,1279,555,3013,5113,707,1205,2653,5292,5888
0DLlAba3,1103,1103,3606,1667,1546,5590,596,1707,2125,2666,2125,3571,163,459,687,2014,373,973,1970,197
0EBmJ3kG,3667,3667,4789,5241,4178,2449,1866,4125,311,2437,5435,3259,2493,2437,5064,2774,3728,3613,5288,2083
0ELx4hGY,4728,4728,4911,3763,5414,5651,378,5414,4911,1523,1419,1523,3763,3031,4228,3871,4228,646,378,186
0ENa2zHR,469,4851,3145,2046,3316,4851,5643,905,3676,1979,1336,3433,3553,3715,3145,3043,2143,3676,2587,4769
0Ef4I5tj,398,398,3703,1332,3703,3894,3475,5904,5006,3375,3309,3223,186,3289,3778,3282,3651,4185,5656,2409
0Eg8etIj,2826,2826,4693,4768,3547,1089,1158,4259,2260,3831,4828,1089,4225,1914,2330,2737,4828,1694,158,774
0ExfP3rN,4433,4325,4189,214,4443,4420,3405,1389,5859,4844,1142,1921,1921,348,3708,1083,1277,3160,1528,5814
0F7Q9vA6,1372,1372,3648,1121,3669,5177,3531,2702,1121,508,4784,5874,4389,5586,1833,2116,5291,2649,878,5147
0FCAe1WV,4797,4947,5509,3533,210,62,3642,5322,4646,1458,674,1400,4866,2317,2833,62,4570,2833,394,3033
0GCbeMcB,164,164,570,1816,1452,1649,1430,570,1709,1430,273,5481,1974,1452,5835,2861,1816,1462,408,1279
0GFk93zr,3834,3638,3638,1749,1833,4503,763,5697,2181,129,1507,1498,73,1833,1780,1749,802,1032,3685,4503
0GVFqNuf,322,1689,4970,2802,5063,5979,322,4381,2098,4332,3079,4956,2642,1877,3240,3654,3111,3077,2549,4845
0Gp5m82j,4326,5499,5913,2024,2325,1145,4326,1562,5812,252,5913,816,4449,1070,239,2000,3717,2029,4355,1094
0GpUxrL9,2823,4686,3638,5033,4389,2823,4118,4341,4485,1852,5793,5147,1371,5291,1930,2821,4346,5793,1045,2539
0HVjONpZ,2080,2037,1753,5167,2099,2080,5808,208,5808,269,2099,5494,4822,657,461,4312,5425,3867,2037,162
0Hb5ejA2,2414,1706,4127,3242,3233,5908,4040,2789,725,3438,3151,4517,1553,241,2471,1706,4599,2414,1361,4127
0Hs9npUZ,5271,3923,5074,2409,4710,1931,2516,2516,4420,4330,3486,5126,2535,4519,3624,4846,5041,1246,5061,5074
0I8hAFSa,2309,688,5160,36,4513,5355,4627,391,2592,3202,4887,1933,3408,2021,4090,4950,4497,4741,4022,3656
0I9Y1lAG,5389,5389,4390,2491,1665,5836,4076,5567,375,1636,1122,5524,5087,1158,4236,5100,4423,2491,1442,1672
0IVPpCo2,5565,5565,4852,1735,3063,1578,4133,4962,5162,1735,5248,1270,5375,2069,2282,3534,4367,4800,1536,1027
0IpRGbry,4866,291,5397,675,5008,5995,714,2482,5537,2313,5537,4312,4821,5394,4486,291,668,4486,3542,4797
0IxhmVDv,3030,736,2677,795,2551,704,5937,1875,3574,2551,4343,1917,4778,1108,964,2560,759,2515,3900,1953
0J2aSlNo,1730,1285,1730,1472,4192,513,2290,4309,4086,2728,3430,2887,3319,5137,4925,1316,2622,5140,2848,142
0JBwlLg5,4707,2674,2541,859,109,4893,1381,5883,5060,795,5540,4477,3702,3789,5789,2843,5355,1698,2829,2573
0JMdqGUN,4036,3041,2847,3799,1179,5735,5788,4674,2822,5791,5252,5735,4717,5883,4711,5883,568,4717,331,359
0JYWnkKv,5241,2493,4925,5288,1243,3667,2493,5064,3667,311,5399,2416,5200,3420,90,5617,5089,90,3641,5921
0JepAxY1,3254,5706,3254,5706,3665,1006,5361,2596,5695,2596,473,473,1341,3526,850,3587,3902,288,4512,1940
0JlSXE8R,1053,1152,4344,2439,5956,1804,2156,1367,3699,4251,1394,373,4233,4415,2429,1456,243,2156,1394,1625
0JydRAr2,5347,2844,207,2929,268,935,4551,4551,620,518,3321,3244,5128,5480,1745,2060,1655,2929,1835,3628
0K4FsSV6,2241,2241,2673,5331,1516,1006,3841,960,4620,922,1686,960,2911,5045,2441,2673,745,1025,1038,4035
0K5Jw9EH,4043,4821,2661,1528,4496,2647,3639,5159,2675,4321,840,653,3238,2223,1528,1297,105,3801,821,250
0KudRQXS,1800,5974,3851,1670,3178,1796,724,1366,4431,1796,5709,2254,871,4144,5974,3106,2635,4222,172,2268
0L2hgHfT,5628,5628,2025,1507,4384,2314,5485,1664,5301,2926,81,4384,3245,4102,2254,1268,4689,4051,648,508
0L53Ysuy,2979,5916,2754,5916,4176,2979,5718,2510,3306,4756,1638,995,4263,4631,3569,3130,4756,4994,3569,4884
0LCy3uBk,45,45,4344,2429,2915,1862,1370,1456,2333,5577,4750,2028,373,2333,5093,2168,3325,3060,1915,3249
0LDAhfVG,4790,1134,5165,4790,2400,1389,1974,199,3824,320,2817,1819,2545,2910,1116,5918,4211,1470,1470,502
0LG8dogk,3788,3486,2898,2653,797,2988,707,1102,3686,4701,2322,2988,1418,1524,2653,5040,1494,2898,3312,1923
0LKYpF1j,4842,5301,314,3817,4842,115,5345,5797,3474,314,5301,854,1836,1541,5485,377,3757,3426,4813,5990
0LutzN9Y,1492,1492,680,682,2800,484,5523,4649,4702,4494,1559,131,4702,5673,1900,4192,5695,5672,2214,1559
0MiyQcbH,5287,5166,1065,835,2122,5720,277,5535,715,5720,3020,1463,3743,1303,3503,333,5287,1735,4811,5248
0MwRAidN,2556,3463,676,2642,333,835,5431,922,5819,5146,4109,2693,1668,715,4758,1914,3487,1663,5432,1668
0N3Qy7HR,5332,4437,178,209,2979,5329,5329,4554,2838,5832,2758,482,209,1090,5931,3443,3435,5054,3491,5887
0NFiohQA,1778,609,4428,2246,795,725,1621,5688,4591,4488,3571,2725,811,3661,4113,1596,2849,2840,167,558
0NmFJkHC,5659,5445,2671,1485,1610,5666,2141,2871,2194,2549,5315,917,767,440,3485,4098,1570,5592,267,4065
0Nmdtnbq,5088,2345,4249,3972,5054,3854,4898,5088,3285,1261,1262,5378,5645,5280,4898,5196,4870,5887,1995,1650
0OCSMusm,3246,171,1828,374,2631,4272,2041,2779,1192,28,4335,3277,2041,301,3186,1984,1828,2323,5651,1709
0OFwEG2X,2761,2761,4060,3227,3227,2844,4551,1522,935,1522,2257,1941,1655,5004,4177,618,1509,2929,1208,5925
0OwpTanH,2434,3178,3986,4700,4035,1694,3431,3845,871,3229,818,5524,4035,4945,5003,4109,4245,5188,463,4238
0PWdfmoy,703,5210,340,2729,3810,2393,989,2983,2419,1577,266,266,4252,1648,1337,5102,340,237,4498,3322
0PhYpmf5,2691,5696,3710,3448,1777,3448,753,2822,2009,5077,78,4145,4145,1874,5989,5001,3823,3832,171,5151
0Q1HvoUY,5819,5819,2642,5478,225,922,4315,2693,2176,1529,2441,556,305,4315,225,627,30,5328,4883,2114
0QTbly3G,981,2600,648,238,4172,4949,2142,959,959,2656,2473,5566,2194,1124,5163,3785,1914,3411,2912,4487
0Qm164n3,3730,3730,2306,3268,4917,5997,2473,1450,2397,5453,4148,4049,1663,981,1538,3268,2306,1914,1117,5179
0QvL9eJ6,110,1957,4292,4856,975,527,3150,1116,4497,2112,3274,3151,5930,2112,4045,4497,909,4832,2287,1957
0R85vygh,2852,5668,4097,5818,4319,4012,4056,1774,3980,1317,2478,3998,2562,2596,3731,1126,3980,997,5972,1647
0RhToFAf,5940,4263,914,5940,4290,416,4263,1737,1691,3304,3800,890,4714,890,3341,3331,2284,2284,3248,2811
0RjDVWYp,5199,2899,4811,2061,3586,2824,1783,2495,773,5491,4456,1878,2061,2393,850,5361,1442,1167,4993,850
0RpEuTBo,2122,2306,1922,942,5453,1610,4800,2260,2194,4097,1356,558,2484,1504,5026,4641,862,5659,1027,3241
0S2kKPNp,1571,5315,3535,3943,4492,3258,1571,5025,3261,2122,3961,1536,2549,1424,5535,2260,5189,1318,4543,1324
0S8Wtrmn,5420,1677,5420,5113,568,5928,3614,4325,5113,5108,5352,920,3953,116,1205,4500,452,2809,2322,5332
0SO59ceW,5220,3589,2491,3380,3917,1665,4106,1016,5524,70,4432,5862,4951,1665,3282,2774,5173,3007,4667,3380
0SbeHjK9,3309,4013,3309,5669,5426,5049,4247,446,4482,2793,951,135,3087,5790,4247,5426,3524,5527,5790,5806
0T6nkElQ,3443,4437,5616,5132,1718,4574,3202,1737,5054,5132,2410,624,4994,5718,914,3435,3220,3350,5623,3435
0TVfQZbD,3969,917,5315,30,2549,4172,3882,5392,917,3969,1535,5392,1987,2098,5979,835,884,1610,1324,319
0TnLdDml,1462,1462,1460,5651,5459,5429,1194,1968,4651,3333,2804,4471,1279,233,1968,4349,1802,3277,3246,5422
0TuOYx34,5434,5434,1189,2072,3121,1189,3985,5144,2072,5593,543,2500,3121,5524,5110,634,212,871,2265,1694
0UQlcNDT,5517,5517,1611,1611,161,161,1500,2833,5286,4947,4646,1164,1500,4350,4947,2317,1130,210,4797,344
0VRtAkFb,2545,2545,294,5615,4880,5615,3915,2085,5327,294,1873,4790,4965,2289,3014,4613,2400,5327,1470,3878
